id;first_name;last_name;middle_name;business_name;phone;email;is_active;type;remark
1;Johann;Goodwin;Brand;invoice virtual Money;1-997-402-6297 x4222;Sigrid48@yahoo.com;true;CUSTOMER;../fake-data/blob/hipster.txt
2;Linnea;Feeney;hierarchy Lane;Avon;659.473.7339;Gerardo32@yahoo.com;true;CUSTOMER;../fake-data/blob/hipster.txt
3;Dora;Champlin;Chicken Borders;generating purple Courts;439.494.9595 x23913;Isac19@hotmail.com;false;SHIPPING;../fake-data/blob/hipster.txt
4;Viviane;Emmerich;Borders Loan;ivory;1-593-905-3768;Bertrand51@yahoo.com;true;CUSTOMER;../fake-data/blob/hipster.txt
5;Audra;Ledner;Buckinghamshire Auto hacking;overriding Sleek;(627) 951-7109 x199;Lyda52@hotmail.com;false;SHIPPING;../fake-data/blob/hipster.txt
6;Tristian;Sporer;payment;Intelligent;(235) 628-2733 x4853;Henderson.Denesik@gmail.com;true;CUSTOMER;../fake-data/blob/hipster.txt
7;Monique;Adams;Path Account;optical Integrated;(228) 774-7289 x1330;Brianne4@gmail.com;true;CUSTOMER;../fake-data/blob/hipster.txt
8;Modesta;Schinner;Account;Nakfa Pants paradigm;(763) 304-8018 x0541;Theresa_Heidenreich@gmail.com;false;CUSTOMER;../fake-data/blob/hipster.txt
9;Nicola;Herzog;systemic withdrawal channels;Producer installation;389.649.6057 x993;Ismael41@gmail.com;false;SHIPPING;../fake-data/blob/hipster.txt
10;Winfield;Altenwerth;invoice;calculate;790.454.8091 x777;Coleman5@gmail.com;true;CUSTOMER;../fake-data/blob/hipster.txt
